ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00257,Ouidad Benmoussa,*,Benmoussa,,,Morocco,Northern Africa,Index,,,,
ap.per.00245,Mohammed Bennis,,Bennis,,,Morocco,Northern Africa,Anthology,,,,
ap.per.00248,Mohammed Bentalha,*,Bentalha,,,Morocco,Northern Africa,Index,,,,
ap.per.00288,Robert Berwold,,Berwold,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00013,Bate Besong,,Besong,,,Cameroon,Middle Africa,Anthology,M,,,
ap.per.00340,Vonani Bila,*,Bila,,,South Africa,Southern Africa,Index,,,,
ap.per.00356,Amanda Biliei,*,Biliei,,,South Africa,Southern Africa,Index,,,,
ap.per.00180,Julianne Okot Bitek,,Bitek,,,Uganda,Eastern Africa,Anthology,F,,,
ap.per.00282,Limam Boicha,*,Boicha,,,Western Sahara,Northern Africa,Index,,,,
ap.per.00055,Juan Balboa Boneke,*,Boneke,,,"Congo, Democratic Republic Of",Middle Africa,Index,M,,,
ap.per.00052,Rais Neza Boneza ,*,Boneza,,,"Congo, Democratic Republic Of",Middle Africa,Index,M,,,
ap.per.00273,Kola Boof,,Boof,,,Sudan,Northern Africa,Anthology,,,,
ap.per.00325,Nadine Botha,*,Botha,,,South Africa,Southern Africa,Index,,,,
ap.per.00264,Mohamed Boudouik,*,Boudouik,,,Morocco,Northern Africa,Index,,,,
ap.per.00104,Kwesi Brew,,Brew,,,Ghana,Western Africa,Anthology,M,,,
ap.per.00344,Breyten Breytenbach,*,Breytenbach,,,South Africa,Southern Africa,Index,,,,
ap.per.00302,Dennis Brutus,,Brutus,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00098,Victoria Bulley,,Bulley,,,Ghana,Western Africa,Anthology,F,,,
ap.per.00105,Abena Busia ,,Busia,,,Ghana,Western Africa,Anthology,F,,,
ap.per.00020,Bole Butake,*,Butake,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00001,Ruy Duarte de Carvalho,,Carvalho,,,Angola,Middle Africa,Anthology,M,"You wake longing to know what happened
Sign
The Children
Saltpeter Sores
Pastoral Song
In the Words of Musurukutu",http://viaf.org/viaf/7385318,
ap.per.00275,Leila Chatti,,Chatti,,,Tunisia,Northern Africa,Anthology,,,,
ap.per.00203,Hamida Chellali,,Chellali,,,Algeria,Northern Africa,Anthology,,,,
ap.per.00161,Steve Chimombo,,Chimombo,,,Malawi,Eastern Africa,Anthology,M,,,
ap.per.00195,Julius Chingono,*,Chingono,,,Zimbabwe,Eastern Africa,Index,M,,,
